"Date","Close","Open","High","Low","Vol","Change %"
"12/23/2019","9,995.8","9,968.6","10,077.5","9,968.6","1.84M","0.27%"
"12/20/2019","9,968.6","9,914.1","10,050.3","9,859.7","2.20M","1.10%"
"12/19/2019","9,859.7","10,023.1","10,132.0","9,859.7","1.68M","-1.63%"
"12/18/2019","10,023.1","10,213.7","10,268.2","10,023.1","2.33M","-1.34%"
"12/17/2019","10,159.3","10,404.4","10,431.6","10,159.3","2.65M","-2.10%"
"12/16/2019","10,377.1","10,458.9","10,513.3","10,349.9","1.40M","-0.78%"
"12/13/2019","10,458.9","10,622.3","10,649.5","10,458.9","1.75M","-1.03%"
"12/12/2019","10,567.8","10,431.6","10,567.8","10,322.7","2.51M","2.11%"
"12/11/2019","10,349.9","10,431.6","10,513.3","10,213.7","2.38M","-1.04%"
"12/10/2019","10,458.9","10,676.8","10,676.8","10,404.4","2.09M","-2.04%"
"12/09/2019","10,676.8","10,622.3","10,812.9","10,595.0","1.43M","0.51%"
"12/06/2019","10,622.3","10,704.0","10,731.2","10,622.3","1.03M","-0.51%"
"12/05/2019","10,676.8","10,840.2","10,894.6","10,676.8","1.22M","-1.01%"
"12/04/2019","10,785.7","10,540.6","10,785.7","10,513.3","1.79M","2.59%"
"12/03/2019","10,513.3","10,486.1","10,676.8","10,486.1","2.05M","-1.03%"
"12/02/2019","10,622.3","10,785.7","10,867.4","10,622.3","2.59M","-1.51%"
"11/29/2019","10,785.7","10,812.9","10,867.4","10,785.7","1.70M","-0.25%"
"11/28/2019","10,812.9","10,840.2","10,894.6","10,758.5","1.92M","0.00%"
"11/27/2019","10,812.9","10,949.1","10,949.1","10,812.9","3.08M","-0.75%"
"11/26/2019","10,894.6","11,058.1","11,112.5","10,894.6","2.81M","-1.23%"
"11/25/2019","11,030.8","11,003.6","11,058.1","10,921.9","1.62M","0.75%"
"11/22/2019","10,949.1","11,221.5","11,248.7","10,921.9","3.21M","-1.47%"
"11/21/2019","11,112.5","11,384.9","11,384.9","11,112.5","3.53M","-2.39%"
"11/20/2019","11,384.9","11,521.1","11,521.1","11,384.9","2.11M","-0.95%"
"11/19/2019","11,493.9","11,439.4","11,575.6","11,439.4","1.53M","0.48%"
"11/18/2019","11,439.4","11,521.1","11,548.3","11,412.1","1.85M","-0.47%"
"11/15/2019","11,493.9","11,657.3","11,684.5","11,493.9","2.75M","-1.63%"
"11/14/2019","11,684.5","11,766.2","11,820.7","11,602.8","2.69M","-0.92%"
"11/13/2019","11,793.5","11,820.7","11,847.9","11,711.7","2.19M","0.00%"
"11/12/2019","11,793.5","11,820.7","11,929.6","11,793.5","2.58M","-0.23%"
"11/11/2019","11,820.7","12,011.3","12,011.3","11,820.7","3.05M","-1.59%"
"11/08/2019","12,011.3","12,120.3","12,147.5","11,956.9","4.04M","0.00%"
"11/07/2019","12,011.3","11,820.7","12,093.1","11,793.5","4.98M","1.61%"
"11/06/2019","11,820.7","11,875.2","11,902.4","11,793.5","2.62M","-0.46%"
"11/05/2019","11,875.2","11,902.4","11,956.9","11,847.9","3.61M","0.23%"
"11/04/2019","11,847.9","11,766.2","11,902.4","11,739.0","5.58M","1.16%"
"11/01/2019","11,711.7","11,602.8","11,820.7","11,521.1","5.26M","0.70%"
"10/31/2019","11,630.0","11,657.3","11,684.5","11,439.4","3.03M","0.00%"
"10/30/2019","11,630.0","11,521.1","11,657.3","11,521.1","1.79M","0.95%"
"10/29/2019","11,521.1","11,575.6","11,657.3","11,521.1","1.97M","-0.47%"
"10/28/2019","11,575.6","11,711.7","11,793.5","11,575.6","2.55M","-0.23%"
"10/25/2019","11,602.8","11,602.8","11,684.5","11,575.6","1.96M","0.00%"
"10/24/2019","11,602.8","11,384.9","11,602.8","11,357.7","2.46M","2.40%"
"10/23/2019","11,330.4","11,357.7","11,439.4","11,330.4","1.25M","-0.48%"
"10/22/2019","11,384.9","11,384.9","11,412.1","11,248.7","1.79M","0.48%"
"10/21/2019","11,330.4","11,384.9","11,439.4","11,330.4","2.35M","-1.42%"
"10/18/2019","11,493.9","11,602.8","11,711.7","11,493.9","2.18M","-1.17%"
"10/17/2019","11,630.0","11,739.0","11,739.0","11,602.8","1.85M","-0.93%"
"10/16/2019","11,739.0","11,820.7","11,820.7","11,711.7","2.37M","-0.23%"
"10/15/2019","11,766.2","11,902.4","11,902.4","11,739.0","1.99M","-0.69%"
"10/14/2019","11,847.9","11,711.7","11,929.6","11,711.7","4.43M","2.11%"
"10/11/2019","11,602.8","11,630.0","11,657.3","11,548.3","3.16M","0.00%"
"10/10/2019","11,602.8","11,602.8","11,711.7","11,575.6","2.51M","0.00%"
"10/09/2019","11,602.8","11,711.7","11,766.2","11,548.3","2.75M","-0.47%"
"10/08/2019","11,657.3","11,466.6","11,739.0","11,466.6","2.17M","1.42%"
"10/07/2019","11,493.9","11,793.5","11,875.2","11,493.9","2.96M","-2.31%"
"10/04/2019","11,766.2","12,419.9","12,419.9","11,766.2","5.81M","-3.52%"
"10/03/2019","12,196.1","12,065.8","12,248.2","11,987.6","3.42M","0.00%"
"10/02/2019","12,196.1","12,039.8","12,352.5","11,987.6","6.32M","1.08%"
"10/01/2019","12,065.8","11,935.5","12,091.9","11,909.5","5.08M","0.65%"
"09/30/2019","11,987.6","12,170.1","12,196.1","11,961.6","4.80M","-0.86%"
"09/27/2019","12,091.9","11,857.3","12,117.9","11,779.2","6.86M","2.43%"
"09/26/2019","11,805.2","11,362.2","11,805.2","11,362.2","10.80M","4.62%"
"09/25/2019","11,284.0","11,258.0","11,336.1","11,179.8","2.48M","0.00%"
"09/24/2019","11,284.0","11,127.7","11,440.4","11,101.6","4.06M","1.40%"
"09/23/2019","11,127.7","11,258.0","11,284.0","11,127.7","2.56M","-0.47%"
"09/20/2019","11,179.8","11,362.2","11,362.2","11,127.7","5.71M","-1.38%"
"09/19/2019","11,336.1","11,336.1","11,336.1","11,153.7","2.50M","0.69%"
"09/18/2019","11,258.0","11,336.1","11,414.3","11,231.9","3.43M","-0.23%"
"09/17/2019","11,284.0","11,179.8","11,284.0","11,101.6","2.19M","0.93%"
"09/16/2019","11,179.8","11,205.8","11,336.1","11,179.8","3.93M","0.47%"
"09/13/2019","11,127.7","10,893.1","11,205.8","10,867.1","4.86M","2.40%"
"09/12/2019","10,867.1","10,867.1","10,945.2","10,814.9","1.15M","0.48%"
"09/11/2019","10,814.9","10,841.0","10,867.1","10,736.8","963.49K","0.24%"
"09/10/2019","10,788.9","11,049.5","11,049.5","10,788.9","1.87M","-0.96%"
"09/09/2019","10,893.1","10,945.2","10,997.4","10,841.0","1.46M","-0.95%"
"09/06/2019","10,997.4","10,997.4","11,127.7","10,997.4","799.94K","-0.94%"
"09/05/2019","11,101.6","11,205.8","11,231.9","11,049.5","1.24M","-0.47%"
"09/04/2019","11,153.7","11,127.7","11,153.7","11,023.4","1.05M","-0.23%"
"09/03/2019","11,179.8","11,127.7","11,205.8","11,023.4","921.41K","-0.23%"
"08/30/2019","11,205.8","11,101.6","11,231.9","11,101.6","1.21M","1.65%"
"08/29/2019","11,023.4","11,101.6","11,153.7","10,997.4","1.39M","-0.94%"
"08/28/2019","11,127.7","11,153.7","11,231.9","11,101.6","832.08K","-0.23%"
"08/27/2019","11,153.7","11,336.1","11,362.2","11,127.7","2.12M","-0.93%"
"08/26/2019","11,258.0","11,205.8","11,414.3","11,205.8","2.89M","-3.14%"
"08/23/2019","11,622.8","11,674.9","11,674.9","11,518.6","1.47M","-0.45%"
"08/22/2019","11,674.9","11,753.1","11,805.2","11,622.8","1.67M","-0.44%"
"08/21/2019","11,727.0","11,466.4","11,727.0","11,440.4","3.83M","1.81%"
"08/20/2019","11,518.6","11,570.7","11,674.9","11,492.5","2.18M","-0.45%"
"08/19/2019","11,570.7","11,753.1","11,753.1","11,466.4","1.44M","-0.22%"
"08/16/2019","11,596.7","11,388.3","11,883.4","11,310.1","4.21M","1.83%"
"08/15/2019","11,388.3","11,205.8","11,388.3","10,997.4","3.79M","0.23%"
"08/14/2019","11,362.2","11,466.4","11,492.5","11,336.1","2.33M","-0.23%"
"08/13/2019","11,388.3","11,336.1","11,388.3","11,258.0","1.89M","-1.35%"
"08/12/2019","11,544.6","11,518.6","11,596.7","11,362.2","1.82M","0.68%"
"08/09/2019","11,466.4","11,284.0","11,570.7","11,205.8","3.70M","3.77%"
"08/08/2019","11,049.5","11,049.5","11,310.1","10,814.9","4.35M","0.00%"
"08/07/2019","11,049.5","11,284.0","11,466.4","11,023.4","3.07M","-2.08%"
"08/06/2019","11,284.0","11,362.2","11,414.3","11,205.8","3.24M","-2.91%"
"08/05/2019","11,622.8","11,987.6","12,013.7","11,622.8","2.43M","-3.25%"
"08/02/2019","12,013.7","11,987.6","12,117.9","11,883.4","1.58M","-1.07%"
"08/01/2019","12,144.0","12,091.9","12,222.2","12,039.8","741.28K","0.43%"
"07/31/2019","12,091.9","12,039.8","12,170.1","11,935.5","2.56M","-0.64%"
"07/30/2019","12,170.1","12,561.0","12,691.3","12,170.1","2.40M","-3.11%"
"07/29/2019","12,561.0","12,743.4","12,769.4","12,561.0","1.01M","-1.23%"
"07/26/2019","12,717.3","12,691.3","12,795.5","12,587.0","1.61M","0.20%"
"07/25/2019","12,691.3","12,847.6","12,925.8","12,665.2","2.98M","-1.42%"
"07/24/2019","12,873.7","13,160.3","13,160.3","12,847.6","2.58M","-1.59%"
"07/23/2019","13,082.2","13,134.3","13,160.3","13,030.0","1.38M","0.20%"
"07/22/2019","13,056.1","13,238.5","13,264.6","12,977.9","3.09M","-2.15%"
"07/19/2019","13,342.8","13,368.8","13,447.0","13,316.7","2.49M","0.20%"
"07/18/2019","13,316.7","13,316.7","13,420.9","13,290.6","2.17M","-0.97%"
"07/17/2019","13,447.0","13,082.2","13,499.1","13,030.0","6.28M","3.20%"
"07/16/2019","13,030.0","13,004.0","13,082.2","13,004.0","1.49M","0.00%"
"07/15/2019","13,030.0","13,030.0","13,056.1","12,977.9","1.29M","-0.20%"
"07/12/2019","13,056.1","13,160.3","13,212.5","13,030.0","1.96M","-0.20%"
"07/11/2019","13,082.2","13,082.2","13,108.2","13,030.0","1.48M","0.80%"
"07/10/2019","12,977.9","13,056.1","13,160.3","12,977.9","1.59M","-0.60%"
"07/09/2019","13,056.1","13,056.1","13,108.2","12,951.9","1.69M","-0.20%"
